,X,Dep,Number,Dep_n,logR_n
369,73.0,15.36,4,0.6641497388276261,0.5065474974764202
370,73.0,14.36,5,0.6055310504933256,0.4810697085250334
371,73.0,13.36,6,0.5469123621590248,0.42227955543636403
372,73.0,12.36,7,0.4882936738247242,0.35169952730825144
373,73.0,11.36,8,0.4296749854904236,0.29761284519065534
374,73.0,10.36,9,0.3710562971561229,0.3683778008209736
375,73.0,9.36,10,0.3124376088218223,0.40477976255555703
376,73.0,8.36,11,0.25381892048752164,0.5397006624393096
377,73.0,7.359999999999999,12,0.19520023215322102,0.6352073868408898
378,73.0,6.359999999999999,13,0.1365815438189204,0.7589538950391428
379,73.0,5.359999999999999,14,0.07796285548461974,0.8502935360120698
380,73.0,4.359999999999999,15,0.01934416715031911,0.8502935360120698
381,75.0,19.41,0,0.9015554265815438,0.44721601469546834
382,75.0,18.41,1,0.8429367382472431,0.3261778806581878
383,75.0,17.41,2,0.7843180499129425,0.3775867496991457
384,75.0,16.41,3,0.7256993615786418,0.4154769060888764
385,75.0,15.41,4,0.6670806732443412,0.42887504867571424
386,75.0,14.41,5,0.6084619849100406,0.42004660899837043
387,75.0,13.41,6,0.5498432965757398,0.38526440170707227
388,75.0,12.41,7,0.49122460824143926,0.34237981614133456
389,75.0,11.41,8,0.43260591990713865,0.30226804291569437
390,75.0,10.41,9,0.37398723157283803,0.35378252487705714
391,75.0,9.41,10,0.31536854323853736,0.38632613307224434
392,75.0,8.41,11,0.25674985490423674,0.5159142722907822
393,75.0,7.41,12,0.19813116656993612,0.6056841221511267
394,75.0,6.41,13,0.13951247823563545,0.7175399093832788
395,75.0,5.41,14,0.08089378990133482,0.8084533993706164
396,75.0,4.41,15,0.022275101567034186,0.8084533993706164
397,77.0,19.44,0,0.9033139872315729,0.5237705910084957
398,77.0,18.44,1,0.8446952988972721,0.5310426113711695
399,77.0,17.44,2,0.7860766105629715,0.4876834101020582
400,77.0,16.44,3,0.727457922228671,0.42339322543633784
401,77.0,15.440000000000001,4,0.6688392338943703,0.3988549350888704
402,77.0,14.440000000000001,5,0.6102205455600697,0.3754213757384194
403,77.0,13.440000000000001,6,0.551601857225769,0.33457040551597134
404,77.0,12.440000000000001,7,0.49298316889146837,0.30278344510304905
405,77.0,11.440000000000001,8,0.4343644805571677,0.2660117608647668
406,77.0,10.440000000000001,9,0.37574579222286714,0.30528334471996466
407,77.0,9.440000000000001,10,0.31712710388856646,0.3472847966464798
408,77.0,8.440000000000001,11,0.25850841555426585,0.4771427957649711
409,77.0,7.440000000000001,12,0.19988972721996517,0.5670626397627628
410,77.0,6.440000000000001,13,0.14127103888566456,0.6714232909554292
411,77.0,5.440000000000001,14,0.0826523505513639,0.7617115526997569
412,77.0,4.440000000000001,15,0.024033662217063267,0.7617115526997569
413,79.0,19.49,0,0.9062449216482876,0.7125996452857896
414,79.0,18.49,1,0.847626233313987,0.6665309586838752
415,79.0,17.49,2,0.7890075449796864,0.6209427249050801
416,79.0,16.49,3,0.7303888566453859,0.5194209225209699
417,79.0,15.489999999999998,4,0.6717701683110852,0.4465783956653838
418,79.0,14.489999999999998,5,0.6131514799767845,0.3848112420138433
419,79.0,13.489999999999998,6,0.5545327916424839,0.3122519649509697
420,79.0,12.489999999999998,7,0.49591410330818325,0.2581664165035953
421,79.0,11.489999999999998,8,0.4372954149738826,0.20929457124683626
422,79.0,10.489999999999998,9,0.37867672663958196,0.2522462319478212
423,79.0,9.489999999999998,10,0.32005803830528134,0.3396910029598644
424,79.0,8.489999999999998,11,0.2614393499709807,0.43185788433966527
425,79.0,7.489999999999998,12,0.20282066163668006,0.5258822601564264
426,79.0,6.489999999999998,13,0.1442019733023794,0.6316685326909558
427,79.0,5.489999999999998,14,0.08558328496807877,0.7146592007017296
428,79.0,4.489999999999998,15,0.026964596633778135,0.7146592007017296
429,81.0,19.49,0,0.9062449216482876,0.7300642296409056
430,81.0,18.49,1,0.847626233313987,0.7179618085905597
431,81.0,17.49,2,0.7890075449796864,0.6790613509818326
432,81.0,16.49,3,0.7303888566453859,0.6190327808001089
433,81.0,15.489999999999998,4,0.6717701683110852,0.5498574444916251
434,81.0,14.489999999999998,5,0.6131514799767845,0.46436411125688226
435,81.0,13.489999999999998,6,0.5545327916424839,0.36065015050600513
